time_step,delta,a,cte,epsi
0,0.0001072261876348312,0.5990786639469847,0.07617154438366924,-0.223940858339785
1,0.00010842031465355872,0.5990660577390274,0.07614627990750478,-0.22409127798555778
2,0.00010924015369688292,0.5990548429013802,0.07617263299346178,-0.22391998026108048
3,0.00010803765140721225,0.5990679534399539,0.0761962279369186,-0.22380262991652322
4,0.00010881778697867503,0.5990568825517412,0.07620914613539753,-0.22362627027614526
5,0.00010841603932117066,0.5990620293175429,0.07620080867741308,-0.22367307111704382
6,0.00010736454517799797,0.5990741777509161,0.07621559639613906,-0.22363525375433663
7,0.00590535812908013,0.5308143072912245,0.07618534296011603,-0.22453647633594195
8,0.010912602600313005,0.47043399085910004,0.076431506320489,-0.22322029099920432
9,0.013336614552868034,0.43980893659850706,0.07661541643062719,-0.22132406721095305
10,0.014099777118665712,0.42226704716222047,0.07969933470752721,-0.21141807093228265
11,0.01418464088693028,0.4080557672395287,0.08575364314765466,-0.19755811793995842
12,0.013482063430677952,0.39562678399628765,0.0902825531079543,-0.17713642315055164
13,0.012250670885155005,0.38401178378764184,0.09314565662430141,-0.15321949522928727
14,0.01023706958438169,0.37519881287239826,0.09361228418845258,-0.12408508618607206
15,0.008201959673063017,0.3647309693045388,0.08907765010582125,-0.09605842843578087
16,0.00576684147863788,0.3566835510319783,0.07966145482777165,-0.06640894491359906
17,0.0033506293540758814,0.3486274736054515,0.0701254898156094,-0.03871539923015459
18,0.0007706084919009321,0.3415974226594943,0.06030858529851457,-0.01096311099731953
19,-0.0017317072585657258,0.3358497424814018,0.05086258800184851,0.014719985213737035
20,-0.0039550290400002415,0.3293618294261696,0.04188241717008623,0.0364837119397591
21,-0.005653226403797269,0.32413619692389256,0.03262238312743193,0.052476226642329114
22,-0.00704359683996313,0.31938711411219106,0.024010099823897235,0.06507658057241592
23,-0.007698543558893828,0.31513302256537357,0.01618780260650965,0.07051059225747966
24,-0.00794910916998698,0.31099682665571815,0.010152914058437545,0.07204070964740357
25,-0.007595001258550752,0.3076480052876766,0.005583780647725689,0.06817427776492332
26,-0.006746318698979611,0.30427005881550767,0.0031852172111825894,0.059864730379140085
27,-0.005503124850355809,0.3012698830330219,0.0017294891919164002,0.048262009853870774
28,-0.006613608045889581,0.2986269586653419,0.008821005845675245,0.057444630569939086
29,-0.006678723556275981,0.29608916265251817,0.016651288352704796,0.05725504734962219
30,-0.0071537734307568065,0.295192728722662,0.024125247431641128,0.06099928460079838
31,-0.007942892033198302,0.2945891825544204,0.031955607639702066,0.06751153933141096
32,-0.009071426471271446,0.29322559787632024,0.039110678552731315,0.07680774958560807
33,-0.007693199751302653,0.29149413405696545,0.03823619516663257,0.06452093476006106
34,-0.007029296769877218,0.29013898229487856,0.03710037606077776,0.058644854400862347
35,-0.005729038143667689,0.28888277063956724,0.03630137180454085,0.04736317914144571
36,-0.00401887617707485,0.2875063170855733,0.03438925763066436,0.03271944029701853
37,-0.001678501072049592,0.2860729208460694,0.03290751993233698,0.012809538900431542
38,0.0008263636960801042,0.28493162736127137,0.031890914898951905,-0.008339462719185056
39,0.0032521273788936747,0.2838320270135415,0.030900167287654767,-0.028685571154126895
40,0.005607954824484627,0.2827095575090722,0.029966042609885335,-0.048317390343432534
41,0.007257905366314909,0.2825007299482023,0.029499680019796415,-0.06210810171759787
42,0.0064170559831125155,0.28380889537232884,0.03779835762060202,-0.05564398132038462
43,0.004650825897200098,0.28412011719856883,0.04373453735320254,-0.04110416612624007
44,0.0023056817570100713,0.28140259685255575,0.04820410983978718,-0.021410562940334884
45,-0.001027983865601601,0.2801942123281017,0.0509874995943278,0.006301056343541595
46,-0.0043812648415105255,0.28219620074106067,0.053084596552821495,0.034414848784039644
47,-0.006007039892860421,0.28237037331745696,0.04670813424274911,0.04835730880491227
48,-0.006748657308770557,0.2818108787788285,0.040579823129178294,0.05476157726357517
49,-0.006510477753782804,0.2796791955050658,0.034562261527753435,0.05267791089870887
50,-0.005203126563609997,0.28005690911643977,0.029920599842512274,0.04208427090196341
51,-0.002820217145580227,0.27837856512125686,0.026013814858629303,0.02230015478646879
52,-0.00019639314245743393,0.2778923994274844,0.0230413869117001,0.0007212394943815046
53,0.0020961996583835885,0.2791465198606816,0.022644875046012203,-0.018258372341010173
